batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1.  **Official Brand Website**,2.  **FSSAI Nutrition Databases**,3.  **Indian Food Composition Tables (NIN-ICMR)**,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
1,jiomart_nutty_nutty_creamy_natural_peanut_butter_100_roasted_peanuts_high_protein_no_added_sugar_salt_nongmo,"NUTTY Creamy Natural Peanut Butter | 100% Roasted Peanuts, High Protein, No Added Sugar & Salt, non-GMO, Gluten-Free, Vegan | Plant-Based, Unsweetened Peanut Butter Creamy | 340g Jar",Nutty,spread,sauce-ketchup-butter,340.0,g,199.0,jiomart,575.0,21.4,2.8,23.6,51.1,12.3,7.4,,,,,,,,,,,,,,,,,,,,
2,jiomart_society_society_masala_flavour_tea_500_g,Society Masala Flavour Tea 500 g,Society,beverage,tea-cofee,500.0,g,351.0,jiomart,,,,,,,,10.0,0.2,,,,,,,,,,,,,,,,,,
3,jiomart_kinsfolk_kinsfolk_cold_pressed_gingellysesame_oil_virgin_chekkughani_sesame_oil_can_2_ltr,"Kinsfolk Cold Pressed Gingelly/Sesame Oil ( Virgin, Chekku/Ghani) Sesame Oil Can - 2 Ltr",Kinsfolk,essentials,oil,2.0,L,693.0,jiomart,890.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
4,jiomart_sambhojanam_sambhojanam_jau_atta5kg_100_natural_barley_flour_jau_ka_atta_rich_in_dietary_fibre_nutri,SAMBHOJANAM Jau atta-5kg | 100% Natural Barley Flour | Jau Ka Atta rich in Dietary Fibre & Nutrients|Loaded antioxidants for overall wellness (5kg),Sambhojanam,essentials,flour,5.0,kg,657.0,jiomart,345.0,69.4,1.2,12.5,3.7,0.8,9.4,1.0,0.2,,,,,,,,,,,,,,,,,,
5,jiomart_danima_danima_lemon_cookies_no_added_sugar_150_g,"Danima Lemon Cookies No Added Sugar, 150 G",Danima,snacks,bakery,150.0,g,449.0,jiomart,550.0,65.0,45.0,3.0,24.0,10.0,0.5,200.0,1.0,,,,,,,,,,,,,,,,,,
6,jiomart_goshudh_goshudh_mishri_4000_g_1kg_x_4_pack_sugar,Goshudh Mishri 4000 g (1Kg X 4 Pack) Sugar,Goshudh,essentials,salt-sugar,4000.0,g,473.0,jiomart,,65.0,45.0,2.0,3.5,1.0,,250.0,10.0,,,,,,,,,,,,,,,,,,
7,jiomart_nutrovally_nutrovally_green_tea_with_tulsi_25pcs25pcs25pcs_refreshing_detoxify_natural_leaves_loaded,Nutrovally Green Tea With Tulsi 25Pcs+25Pcs+25Pcs | Refreshing & Detoxify Natural Leaves | Loaded with Anti-Oxidants Rich | Green Tea bags-75 Pcs | Green Tea Pack of 3,Nutrovally,beverage,tea-cofee,25.0,pcs,289.0,jiomart,,3.2,1.5,0.4,0.1,0.05,0.2,10.0,0.5,"Green Tea, Tulsi leaves, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
8,jiomart_health_field_health_field_organic_rozana_lal_masur_masoor_malka_1kg,Health Field Organic Rozana Lal Masur (Masoor Malka) 1Kg,Health Field,essentials,pulses,1.0,kg,270.0,jiomart,370.0,63.5,2.3,12.9,0.6,0.4,1.5,2.0,0.8,,,,,,,,,,,,,,,,,,
9,jiomart_topales_topales_premium_lakdi_ghana_cold_pressed_groundnut_oil_1_litre_pack_of_2,Topale's Premium Lakdi Ghana Cold Pressed Groundnut Oil 1 litre (pack of 2),Topale'S,essentials,oil,1.0,L,666.0,jiomart,870.0,0.4,0.1,14.2,97.6,85.8,0.3,0.1,0.02,,,,,,,,,,,,,,,,,,
10,jiomart_bulbul_bulbul_kachi_ghani_mustard_oil_5_litre_100_cold_pressed_pure_natural_healthy_mustard_oil_for_,"BULBUL Kachi Ghani Mustard Oil 5 Litre, 100% Cold Pressed, Pure, Natural & Healthy Mustard Oil for Cooking, Frying & Dressing",Bulbul,essentials,oil,5.0,L,999.0,jiomart,,0.1,0.01,0.0,14.5,9.2,0.0,0.1,0.01,,,,,,,,,,,,,,,,,,
