batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,Combo,INFO,serving_size,servings_per_container,Dal,Atta,QUALITY,data_source,Starch,Biscuits,Chai,Oatmeal,processing_notes,Sugar
1,jiomart_bikaji_bikaji_tana_tan_aloo_bhujia_200_g,Bikaji Tana Tan Aloo Bhujia 200 g,Bikaji,snacks,chips-namkeen,200.0,g,45.0,jiomart,550.0,24.0,2.0,3.0,33.0,9.0,0.0,350.0,2.0,,,,,,,,,,,,,,
2,jiomart_sams_sams_tomato_ketchup_1kg_pure_thick_and_soya_sauce_700g_combo_natural_ingredients,"Sams Tomato Ketchup 1kg Pure & Thick and Soya Sauce 700g Combo, Natural Ingredients",Sams,spread,sauce-ketchup-butter,1.0,kg,230.0,jiomart,,12.2,10.6,1.3,0.5,0.2,0.4,230.0,2.1,NUTRITION (per 100g/100ml):,"ingredients_list: Tomato, Sugar, Vegetable Oil, Soya Sauce, Salt, Spices, Preservatives",30g,7.0,,,,,,,,,,
3,jiomart_momsy_momsy_premium_quality_white_urad_dal_split_pulses_450gm,Momsy Premium Quality White Urad Dal| Split| Pulses (450gm),Momsy,essentials,pulses,450.0,g,177.0,jiomart,,74.8,1.2,12.3,0.9,0.4,6.8,1.0,0.5,,,,,energy_kcal_per_100g: 348,,,,,,,,,
4,jiomart_lokraj_lokraj_premium_lokwan_wheat_atta_1kg_pack_of_4,LokRaj Premium Lokwan wheat Atta 1kg (Pack of 4),Lokraj,essentials,flour,1.0,kg,444.0,jiomart,,65.2,1.3,9.5,0.6,0.4,1.2,,0.3,,"ingredients_list: wheat, mustard oil, salt, jaggery",30g,7.0,,NUTRITION:,confidence_score: 0.85,Verified Indian nutrition label,,,,,,
5,jiomart_sambhojanam_sambhojanam_combo_of_vrat_aahar1550_gm_kuttu_atta900gm_singhara_atta450gm_sendha_namak20,"Sambhojanam Combo of Vrat Aahar-1550 gm| Kuttu Atta-900gm, Singhara Atta-450gm & Sendha Namak-200gm",Sambhojanam,essentials,flour,1550.0,g,425.0,jiomart,,,,20.0,6.0,3.5,2.0,200.0,,,,,,,,,,,,,,,
6,jiomart_zerog_zerog_potato_starch,Zero-G Potato Starch,Zero-G,essentials,flour,,,381.0,jiomart,,20.0,1.5,2.5,0.5,0.3,1.8,,0.2,,"ingredients_list: Potato Starch, Mustard Oil, Salt",30g,7.0,,,,,NUTRITION:,,,,,
7,jiomart_parle_parle_fab_bourbon_chocolate_sandwich_biscuits_450_g,Parle Fab! Bourbon Chocolate Sandwich Biscuits 450 g,Parle,snacks,biscuit,450.0,g,71.0,jiomart,,70.0,40.0,10.0,30.0,15.0,2.0,350.0,3.0,,,,,,,,,,energy_kcal_per_100g: 550,,,,
8,jiomart_octavius_octavius_kadak_assam_ctc_chai_175kg_strong_kadak_regular_black_assam_tea_1kg_pack_with_3_pa,"Octavius KADAK Assam CTC Chai 1.75kg | Strong Kadak Regular Black Assam Tea 1Kg Pack with 3 packs of 250gm | Assam & Dooars Tea Blended CTC Black Tea Powder, Chai Patti 1.75kg",Octavius,beverage,tea-cofee,1.75,kg,435.0,jiomart,15.0,3.5,1.2,0.4,0.1,0.05,0.5,10.0,0.8,,"ingredients_list: Assam Tea Leaves, Mustard Oil, Jaggery Powder, Spices",30g,7.0,,,,,,,NUTRITION:,,,
9,jiomart_yogabar_yogabar_oatmeal_1kg_no_added_sugar_weight_loss_breakfast_cereal_added_alphonso_mango_chia_se,"Yogabar Oatmeal 1kg | No Added Sugar | Weight loss Breakfast Cereal | Added Alphonso Mango, Chia Seeds, Real Fruits, Berries, Whole Grains & chia seeds | High in Iron & Fibre | 100%Vegan & No Preservatives",Yogabar,snacks,breakfast,1.0,kg,463.0,jiomart,370.0,65.0,10.0,8.0,4.0,1.5,6.0,200.0,0.2,,"ingredients_list: Alphonso Mango, Chia Seeds, Real Fruits, Berries, Whole Grains",30g,7.0,,,confidence_score: 0.85,Brand official website,,,,NUTRITION:,Verified from Indian nutrition label,
10,jiomart_dhampur_green_dhampur_green_organic_white_sugar_jar_800g_x_3_table_sugar_chini_shakkar_100_organic_q,"Dhampur Green Organic White Sugar (Jar) 800g X 3, Table Sugar/ Chini/ Shakkar| 100% Organic | Quick Dissolving | Chemical Free | Pesticides Free",Dhampur Green,essentials,salt-sugar,800.0,g,595.0,jiomart,,38.5,98.0,0.1,0.2,0.1,,,0.05,,"ingredients_list: Organic Sugarcane Juice, Water",30g,7.0,,,confidence_score: 0.85,Brand official website,,,,,Verified from Indian nutrition label,NUTRITION:
