batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_aryionuts_aryionuts_premium_organics_dry_fruits_afghani_anjeer_250gm_dried_figs_natural_rich_in_iron,"ARYIONUTS Premium Organics Dry Fruits Afghani Anjeer - 250gm | Dried Figs | Natural, Rich in Iron, Fibre & Vitamins Anjeer Figs | Afghanistan Anjir Dry Fruit Jar Pack - (250gm) Incomplete",Aryionuts,essentials,dry-fruits-nuts,250.0,g,249.0,jiomart
2,jiomart_india_gate_india_gate_uplife_gut_pro_multi_sourced_edible_oil_1_l,India Gate Uplife Gut Pro Multi Sourced Edible Oil 1 L,India Gate,essentials,oil,1.0,L,179.0,jiomart
3,jiomart_pinkcity_pinkcity_soyabean_oil_1litre_bottle_x_2_pack_of_2,Pinkcity Soyabean Oil 1Litre Bottle x 2 (Pack of 2),Pinkcity,essentials,oil,1.0,L,449.0,jiomart
4,jiomart_natraj_the_right_choice_natraj_the_right_choice_premium_loose_green_tea_leaves_for_weight_loss_and_i,"NATRAJ The Right Choice Premium Loose Green Tea Leaves for Weight Loss and Improve Immunity, 300 GM",Natraj The Right Choice,beverage,tea-cofee,300.0,g,280.0,jiomart
5,jiomart_priya_priya_fortified_refined_sunflower_oil_850_g,Priya Fortified Refined Sunflower Oil 850 g,Priya,essentials,oil,850.0,g,136.0,jiomart
6,jiomart_pink_delight_pink_delight_dry_copra_dried_coconut_2_piece_pack_250_gm_300_gm_approx_,Pink Delight Dry Copra | Dried Coconut | 2 Piece Pack | 250 Gm - 300 Gm Approx ,|Pink Delight,essentials,dry-fruits-nuts,2.0,pcs,209.0,jiomart
7,jiomart_tata_sampann_tata_sampann_classic_salted_roasted_cashew_190g_x_2,"Tata Sampann Classic Salted & Roasted Cashew, 190g x 2",Tata Sampann,essentials,dry-fruits-nuts,190.0,g,475.0,jiomart
8,jiomart_slurrp_farm_slurrp_farm_no_added_sugar_instant_cereal_ragi_rice_and_banana_with_milk_free_mango_cere,"Slurrp Farm No Added Sugar Instant Cereal | Ragi, Rice and Banana with Milk | Free Mango Cereal Trial Pack | 200g + Free 50g",Slurrp Farm,baby,baby,200.0,g,349.0,jiomart
9,jiomart_bevzilla_bevzilla_48_instant_coffee_powder_sachets_caramel_96_grams_hot_cold_coffee_makes_48_cups_10,"Bevzilla 48 Instant Coffee Powder Sachets (Caramel) - 96 Grams| Hot & Cold Coffee| Makes 48 Cups| 100% Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino",Bevzilla,beverage,tea-cofee,48.0,Instant,215.0,jiomart
10,jiomart_chatokde_chatokde_salted_potatoaloo_patta_chips_snack_for_tea_time_100_gram,"CHATOKDE Salted Potato/Aloo Patta chips Snack For Tea Time , 100 Gram",Chatokde,snacks,chips-namkeen,100.0,g,179.0,jiomart
11,jiomart_sambhojanam_sambhojanam_super_quality_rice_flour_5_kgchawal_ka_atta,SAMBHOJANAM Super Quality Rice Flour 5 kg/Chawal Ka Atta,Sambhojanam,essentials,flour,5.0,kg,570.0,jiomart
12,jiomart_freshocartz_freshocartz_dry_fruit_pure_and_natural_white_broken_in_2_pcs_cashew_kaju_100_g,FreshoCartz Dry Fruit Pure And Natural White Broken in 2 Pcs Cashew Kaju 100 g,Freshocartz,essentials,dry-fruits-nuts,2.0,pcs,399.0,jiomart
13,jiomart_lipton_lipton_honey_lemon_green_tea_bags_14_g_25_pcs,Lipton Honey Lemon Green Tea Bags 1.4 g (25 pcs),Lipton,beverage,tea-cofee,1.4,g,180.0,jiomart
14,jiomart_bansiram_bansiram_ratlami_sev_400gm,BANSIRAM RATLAMI SEV 400GM,Bansiram,snacks,chips-namkeen,400.0,g,135.0,jiomart
15,jiomart_goshudhfreedom_from_adulteration_goshudhfreedom_from_adulteration_moong_dal_20_kg_moong_mogar_dal,Goshudh-FREEDOM FROM ADULTERATION Moong Dal 20 kg Moong Mogar Dal,Goshudh-Freedom From Adulteration,essentials,pulses,20.0,kg,3115.0,jiomart
16,jiomart_goshudh_goshudh_soya_chunks_2_kg_1kg_x_2_pack,Goshudh Soya Chunks 2 kg (1Kg X 2 Pack),Goshudh,essentials,wheat-soya,2.0,kg,425.0,jiomart
17,jiomart_food_library_the_magic_of_nature_food_library_the_magic_of_naturenescafe_gold_origins_alta_rica_grou,"Food Library The Magic of NatureNescafe Gold Origins Alta Rica Ground Coffee,100 G",Food Library The Magic Of Nature,beverage,tea-cofee,100.0,g,750.0,jiomart
18,jiomart_white_wolf_white_wolf_crunchy_chocolate_peanut_butter_23g_protein_per_100g_500_grams_,White Wolf Crunchy Chocolate Peanut Butter | 23g Protein per 100g | 500 grams ,|White Wolf,spread,sauce-ketchup-butter,500.0,g,374.0,jiomart
19,jiomart_notlih_notlih_regular_cashews_kaju_1kg_each_pack_500gm,Notlih Regular Cashews (Kaju) 1kg Each Pack 500gm,Notlih,essentials,dry-fruits-nuts,1.0,kg,999.0,jiomart
20,jiomart_heaven_bites_heaven_bites_raisins_500_gm_i_kishmish_dry_fruits_source_of_potassium_healthy_nutritiou,"Heaven Bites Raisins 500 GM I Kishmish, Dry Fruits Source Of Potassium, Healthy & Nutritious",Heaven Bites,essentials,dry-fruits-nuts,500.0,g,339.0,jiomart
21,jiomart_sunny_sunny_soya_fit_refined_soyabean_oil_860_g,Sunny Soya Fit Refined Soyabean Oil 860 g,Sunny,essentials,oil,860.0,g,130.0,jiomart
22,jiomart_tummyfriendly_foods_tummyfriendly_foods_100_organic_oats_beetroot_porridge_mix_organic_baby_food_for,"TummyFriendly Foods 100% Organic Oats, Beetroot Porridge Mix, Organic Baby Food for 6 Months Old, Rich in Beta-Glucan, Protein & Fibre, 200g/cereals|Cereals",Tummyfriendly Foods,baby,baby,6.0,Months,269.0,jiomart
23,jiomart_britannia_britannia_milk_bikis_biscuits_1705_g,Britannia Milk Bikis Biscuits 170.5 g,Britannia,snacks,biscuit,170.5,g,29.0,jiomart
24,jiomart_apka_kisan_apka_kisan_multi_grain_chakki_fresh_atta_5_kg_wheat_maize_jwar_bajra_stone_grinded_no_pre,"APKA KISAN | MULTI GRAIN CHAKKI FRESH ATTA | 5 KG | WHEAT, MAIZE, JWAR & BAJRA | STONE GRINDED | NO PRESERVATIVES | FARMERS OF SEHORE, MADHYA PRADESH ",|Apka Kisan,essentials,flour,5.0,kg,499.0,jiomart
25,jiomart_8_am_8am_museli_breakfast_cereals_chocolate_cranberry_pack_of_2_425_g,8AM Museli Breakfast Cereals (Chocolate & Cranberry) Pack of 2 425 g,8 Am,snacks,breakfast,8.0,,520.0,jiomart
26,jiomart_luvit_luvit_cocoa_crush_dark_milk_compound_bars_frosting_perfect_for_baking_pack_of_2_500g_each,"LuvIt Cocoa Crush - Dark & Milk Compound Bars| Frosting, Perfect for Baking| Pack of 2 - 500g Each",Luvit,chocolate,chocolate,500.0,g,378.0,jiomart
27,jiomart_piyor_piyor_natural_premium_dry_fruits_jumbo_roasted_salted_pistachios_nuts_inshell_pista_pistachios,PIYOR Natural Premium Dry fruits Jumbo Roasted & Salted Pistachios Nuts Inshell Pista Pistachios (3 x 150 g),Piyor,essentials,dry-fruits-nuts,,g,499.0,jiomart
28,jiomart_radha_damodar_radha_damodar_unpolished_arhar_dal_400_gram_organic_toor_dal_small_size_tuvar_dal_arha,"Radha Damodar Unpolished Arhar Dal - 400 gram Organic Toor Dal Small Size Tuvar Dal, Arhar Dal, Tur Dal",Radha Damodar,essentials,pulses,400.0,g,195.0,jiomart
29,jiomart_savour_savour_poha_500g_pack_of_6,Savour Poha 500g Pack of 6,Savour,snacks,breakfast,500.0,g,448.0,jiomart
30,jiomart_tarvik_tarvik_slice_churan_aam_papad_khatta_slice_masala_mango_chips_mukhwas_chatpata_aam_papad_dige,Tarvik Slice Churan | Aam papad khatta slice | Masala Mango Chips| Mukhwas Chatpata Aam Papad Digestive Mouth freshener (165 gm,Tarvik,chocolate,chocolate,165.0,g,199.0,jiomart
31,jiomart_pothigai_natural_pothigai_natural_mint_leaves_thokkupickle_500g_home_made_pickle_no_chemical_added_1,Pothigai Natural Mint Leaves Thokku/pickle 500g Home Made Pickle /No chemical added 100% Natural,Pothigai Natural,flavourings,pickles-chutney,500.0,g,239.0,jiomart
32,jiomart_nourish_you_nourish_you_organic_quinoa_flour_750g_pack_usda_certified_gluten_free_atta_enriched_with,"NOURISH YOU Organic Quinoa Flour 750G Pack | USDA Certified Gluten Free Atta | Enriched with Dietary Fibre, Protein & Vitamins | Improves Gut Health | Superfood | Micro-nutrients | No Preservatives",Nourish You,essentials,flour,750.0,g,189.0,jiomart
33,jiomart_cook_garden_cookgarden_instant_oats_500_gm_and_buckeheat_pasta_300_gm_pack_of_2,CookGarden Instant Oats 500 gm and Buckeheat Pasta 300 gm - Pack Of 2,Cook Garden,snacks,breakfast,500.0,g,349.0,jiomart
34,jiomart_balaji_wafers_balaji_wafers_mung_dal_250_g,Balaji Wafers Mung Dal 250 g,Balaji Wafers,snacks,chips-namkeen,250.0,g,44.0,jiomart
35,jiomart_goshudh_goshudh_rajgira_atta_2_kg_pack,Goshudh Rajgira Atta 2 kg Pack,Goshudh,essentials,flour,2.0,kg,510.0,jiomart
36,jiomart_food_essential_food_essential_tender_coconut_water_powder_raw_vegan_refreshing_rehydrating_500_gm,"Food Essential Tender Coconut Water Powder [Raw, Vegan, Refreshing & Re-Hydrating] 500 gm.",Food Essential,ready_to_eat,ready-to-eat,500.0,g,449.0,jiomart
37,jiomart_tinkus_tinkus_lasoda_ka_achaar_handmade_indian_glue_berry_pickle_with_traditional_masala_mustard_oil,TINKUS Lasoda Ka Achaar | Handmade Indian Glue Berry Pickle with Traditional Masala & Mustard Oil | Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,220.0,jiomart
38,jiomart_green_piece_green_piece_black_olives_sliced_230gm,Green Piece Black Olives Sliced .(230gm),Green Piece,ready_to_eat,ready-to-eat,230.0,g,219.0,jiomart
39,jiomart_bb_organics_bb_organics_authentic_kalanamak_rice_2,B&B Organics Authentic Kalanamak Rice (2),B&B Organics,essentials,rice,,,623.0,jiomart
40,jiomart_luvit_luvit_chocwich_white_crunchy_wafers_with_layers_of_rich_white_chocolate_pack_of_2_740g_each,LuvIt Chocwich White Crunchy Wafers with Layers of Rich White Chocolate | Pack of 2 - 740g Each,Luvit,chocolate,chocolate,740.0,g,577.0,jiomart
41,jiomart_ritually_pure_ritually_pure_100_organic_himalayan_rock_salt_withnatural_tasteminerals_1k_each_packof,Ritually Pure 100% Organic | Himalayan Rock Salt |WithNatural TasteMinerals| 1K Each | Packof 2 | 2K,Ritually Pure,essentials,salt-sugar,1.0,K,295.0,jiomart
42,jiomart_mothers_recipe_mothers_recipe_desi_szechwan_chutney_250_g,Mother's Recipe Desi Szechwan Chutney 250 g,Mother'S Recipe,flavourings,pickles-chutney,250.0,g,65.0,jiomart
43,jiomart_charvi_999_charvi_999_besan_1kg_natural_protein_source_from_chana_dal_pack_of_12,Charvi 999 Besan 1kg Natural Protein Source from Chana Dal Pack of 12,Charvi 999,essentials,flour,999.0,,1490.0,jiomart
44,jiomart_aakash_namkeen_aakash_namkeen_tikha_mixture_900g,Aakash Namkeen Tikha Mixture 900g,Aakash Namkeen,snacks,chips-namkeen,900.0,g,278.0,jiomart
45,jiomart_grenera_grenera_all_variety_pack_beetroot_carrot_tomato_wheat_moringa_multi_millet_noodles_made_with,"Grenera All Variety Pack (Beetroot, Carrot, Tomato, Wheat, Moringa, Multi millet Noodles) | Made with whole wheat flour, real vegetables and millet, MSG, Maida free 6x220 Grams (20g Masala Packet)",Grenera,noodles_pasta,noodles-pasta,,g,900.0,jiomart
46,jiomart_pansari_pansari_daily_basmati_rice_perfect_fusion_of_nutrition_aroma_medium_grain_delicate_and_soft_,Pansari Daily Basmati Rice | Perfect Fusion of Nutrition & Aroma | Medium Grain | Delicate and Soft Grains - 10Kg,Pansari,essentials,rice,10.0,kg,699.0,jiomart
47,jiomart_gramin_bytes_gramin_bytes_gramin_cold_pressed_black_mustard_oil_1l_mustard_oil_plastic_bottle,GRAMIN BYTES Gramin Cold Pressed Black Mustard Oil 1L Mustard Oil Plastic Bottle,Gramin Bytes,essentials,oil,1.0,L,425.0,jiomart
48,jiomart_coffeecurry_coffeecurry_arabica_roasted_coffee_beans_for_energy_and_mood_premium_arabica_whole_bean_,"COFFEECURRY Arabica Roasted Coffee Beans - For Energy and Mood | Premium Arabica Whole Bean, Medium Roasted Coffee",Coffeecurry,beverage,tea-cofee,,,189.0,jiomart
49,jiomart_society_society_chahat_tea_1_kg_pack_rich_in_taste_refreshing_aroma_society_tea_leaf_tea,Society Chahat Tea - 1 Kg Pack | Rich in taste & Refreshing Aroma | Society Tea | Leaf Tea,Society,beverage,tea-cofee,1.0,kg,240.0,jiomart
