batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
1,jiomart_aryionuts_aryionuts_premium_organics_dry_fruits_afghani_anjeer_250gm_dried_figs_natural_rich_in_iron,"ARYIONUTS Premium Organics Dry Fruits Afghani Anjeer - 250gm | Dried Figs | Natural, Rich in Iron, Fibre & Vitamins Anjeer Figs | Afghanistan Anjir Dry Fruit Jar Pack - (250gm) Incomplete",Aryionuts,essentials,dry-fruits-nuts,250.0,g,249.0,jiomart,,64.2,44.1,3.5,0.9,0.4,12.2,0.1,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_aryionuts_aryionuts_premium_organics_dry_fruits_afghani_anjeer_250gm_dried_figs_natural_rich_in_iron
2,jiomart_india_gate_india_gate_uplife_gut_pro_multi_sourced_edible_oil_1_l,India Gate Uplife Gut Pro Multi Sourced Edible Oil 1 L,India Gate,essentials,oil,1.0,L,179.0,jiomart,870.0,0.1,0.0,0.0,99.9,87.5,0.0,0.0,0.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_india_gate_india_gate_uplife_gut_pro_multi_sourced_edible_oil_1_l
3,jiomart_pinkcity_pinkcity_soyabean_oil_1litre_bottle_x_2_pack_of_2,Pinkcity Soyabean Oil 1Litre Bottle x 2 (Pack of 2),Pinkcity,essentials,oil,1.0,L,449.0,jiomart,,0.1,0.01,14.6,86.8,7.2,0.5,,0.01,"Soyabean, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_pinkcity_pinkcity_soyabean_oil_1litre_bottle_x_2_pack_of_2
4,jiomart_natraj_the_right_choice_natraj_the_right_choice_premium_loose_green_tea_leaves_for_weight_loss_and_i,"NATRAJ The Right Choice Premium Loose Green Tea Leaves for Weight Loss and Improve Immunity, 300 GM",Natraj The Right Choice,beverage,tea-cofee,300.0,g,280.0,jiomart,,3.8,1.2,0.4,0.2,0.1,0.5,,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_natraj_the_right_choice_natraj_the_right_choice_premium_loose_green_tea_leaves_for_weight_loss_and_i
5,jiomart_priya_priya_fortified_refined_sunflower_oil_850_g,Priya Fortified Refined Sunflower Oil 850 g,Priya,essentials,oil,850.0,g,136.0,jiomart,120.0,0.0,0.0,0.0,14.5,8.3,0.2,1.0,0.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_priya_priya_fortified_refined_sunflower_oil_850_g
6,jiomart_pink_delight_pink_delight_dry_copra_dried_coconut_2_piece_pack_250_gm_300_gm_approx_,Pink Delight Dry Copra | Dried Coconut | 2 Piece Pack | 250 Gm - 300 Gm Approx ,|Pink Delight,essentials,dry-fruits-nuts,2.0,pcs,209.0,jiomart,550.0,62.0,5.0,3.0,45.0,35.0,2.0,0.0,0.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_pink_delight_pink_delight_dry_copra_dried_coconut_2_piece_pack_250_gm_300_gm_approx_
7,jiomart_tata_sampann_tata_sampann_classic_salted_roasted_cashew_190g_x_2,"Tata Sampann Classic Salted & Roasted Cashew, 190g x 2",Tata Sampann,essentials,dry-fruits-nuts,190.0,g,475.0,jiomart,550.0,21.4,2.5,13.8,42.9,10.3,6.1,0.5,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_tata_sampann_tata_sampann_classic_salted_roasted_cashew_190g_x_2
8,jiomart_slurrp_farm_slurrp_farm_no_added_sugar_instant_cereal_ragi_rice_and_banana_with_milk_free_mango_cere,"Slurrp Farm No Added Sugar Instant Cereal | Ragi, Rice and Banana with Milk | Free Mango Cereal Trial Pack | 200g + Free 50g",Slurrp Farm,baby,baby,200.0,g,349.0,jiomart,360.0,67.0,10.0,4.0,2.0,0.5,1.0,50.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_slurrp_farm_slurrp_farm_no_added_sugar_instant_cereal_ragi_rice_and_banana_with_milk_free_mango_cere
9,jiomart_bevzilla_bevzilla_48_instant_coffee_powder_sachets_caramel_96_grams_hot_cold_coffee_makes_48_cups_10,"Bevzilla 48 Instant Coffee Powder Sachets (Caramel) - 96 Grams| Hot & Cold Coffee| Makes 48 Cups| 100% Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino",Bevzilla,beverage,tea-cofee,48.0,Instant,215.0,jiomart,,2.5,1.8,0.4,0.3,0.1,,10.0,0.2,"Arabica coffee, sugar, caramel colour, natural flavour",30g,7.0,0.85,Verified from Indian nutrition label,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_bevzilla_bevzilla_48_instant_coffee_powder_sachets_caramel_96_grams_hot_cold_coffee_makes_48_cups_10
10,jiomart_chatokde_chatokde_salted_potatoaloo_patta_chips_snack_for_tea_time_100_gram,"CHATOKDE Salted Potato/Aloo Patta chips Snack For Tea Time , 100 Gram",Chatokde,snacks,chips-namkeen,100.0,g,179.0,jiomart,370.0,24.2,4.5,3.8,19.9,10.7,0.6,350.0,5.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_chatokde_chatokde_salted_potatoaloo_patta_chips_snack_for_tea_time_100_gram
11,jiomart_sambhojanam_sambhojanam_super_quality_rice_flour_5_kgchawal_ka_atta,SAMBHOJANAM Super Quality Rice Flour 5 kg/Chawal Ka Atta,Sambhojanam,essentials,flour,5.0,kg,570.0,jiomart,,74.2,0.5,3.8,1.6,0.9,0.7,,1.2,"Rice, Wheat Flour",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_sambhojanam_sambhojanam_super_quality_rice_flour_5_kgchawal_ka_atta
12,jiomart_freshocartz_freshocartz_dry_fruit_pure_and_natural_white_broken_in_2_pcs_cashew_kaju_100_g,FreshoCartz Dry Fruit Pure And Natural White Broken in 2 Pcs Cashew Kaju 100 g,Freshocartz,essentials,dry-fruits-nuts,2.0,pcs,399.0,jiomart,,12.2,4.5,8.1,53.9,32.3,6.2,,0.5,"Cashew, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_freshocartz_freshocartz_dry_fruit_pure_and_natural_white_broken_in_2_pcs_cashew_kaju_100_g
13,jiomart_lipton_lipton_honey_lemon_green_tea_bags_14_g_25_pcs,Lipton Honey Lemon Green Tea Bags 1.4 g (25 pcs),Lipton,beverage,tea-cofee,1.4,g,180.0,jiomart,,3.2,5.8,0.1,0.1,0.01,0.2,10.0,,"Black tea, Honey, Lemon juice, Green tea extract",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_lipton_lipton_honey_lemon_green_tea_bags_14_g_25_pcs
14,jiomart_bansiram_bansiram_ratlami_sev_400gm,BANSIRAM RATLAMI SEV 400GM,Bansiram,snacks,chips-namkeen,400.0,g,135.0,jiomart,375.0,65.0,10.0,5.0,20.0,8.0,2.0,350.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_bansiram_bansiram_ratlami_sev_400gm
15,jiomart_goshudhfreedom_from_adulteration_goshudhfreedom_from_adulteration_moong_dal_20_kg_moong_mogar_dal,Goshudh-FREEDOM FROM ADULTERATION Moong Dal 20 kg Moong Mogar Dal,Goshudh-Freedom From Adulteration,essentials,pulses,20.0,kg,3115.0,jiomart,348.0,72.2,1.9,17.3,0.8,0.4,6.5,1.0,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_goshudhfreedom_from_adulteration_goshudhfreedom_from_adulteration_moong_dal_20_kg_moong_mogar_dal
16,jiomart_goshudh_goshudh_soya_chunks_2_kg_1kg_x_2_pack,Goshudh Soya Chunks 2 kg (1Kg X 2 Pack),Goshudh,essentials,wheat-soya,2.0,kg,425.0,jiomart,370.0,74.5,4.2,14.3,6.8,1.2,2.5,0.35,0.45,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_goshudh_goshudh_soya_chunks_2_kg_1kg_x_2_pack
17,jiomart_food_library_the_magic_of_nature_food_library_the_magic_of_naturenescafe_gold_origins_alta_rica_grou,"Food Library The Magic of NatureNescafe Gold Origins Alta Rica Ground Coffee,100 G",Food Library The Magic Of Nature,beverage,tea-cofee,100.0,g,750.0,jiomart,,,,2.5,0.8,0.6,0.1,10.0,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_food_library_the_magic_of_nature_food_library_the_magic_of_naturenescafe_gold_origins_alta_rica_grou
18,jiomart_white_wolf_white_wolf_crunchy_chocolate_peanut_butter_23g_protein_per_100g_500_grams_,White Wolf Crunchy Chocolate Peanut Butter | 23g Protein per 100g | 500 grams ,|White Wolf,spread,sauce-ketchup-butter,500.0,g,374.0,jiomart,550.0,65.0,16.0,23.0,32.0,10.0,2.0,150.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_white_wolf_white_wolf_crunchy_chocolate_peanut_butter_23g_protein_per_100g_500_grams_
19,jiomart_notlih_notlih_regular_cashews_kaju_1kg_each_pack_500gm,Notlih Regular Cashews (Kaju) 1kg Each Pack 500gm,Notlih,essentials,dry-fruits-nuts,1.0,kg,999.0,jiomart,550.0,12.6,1.3,21.8,49.7,13.4,4.2,0.3,0.1,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_notlih_notlih_regular_cashews_kaju_1kg_each_pack_500gm
20,jiomart_heaven_bites_heaven_bites_raisins_500_gm_i_kishmish_dry_fruits_source_of_potassium_healthy_nutritiou,"Heaven Bites Raisins 500 GM I Kishmish, Dry Fruits Source Of Potassium, Healthy & Nutritious",Heaven Bites,essentials,dry-fruits-nuts,500.0,g,339.0,jiomart,,15.2,10.8,1.9,7.4,0.5,1.2,,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_heaven_bites_heaven_bites_raisins_500_gm_i_kishmish_dry_fruits_source_of_potassium_healthy_nutritiou
21,jiomart_sunny_sunny_soya_fit_refined_soyabean_oil_860_g,Sunny Soya Fit Refined Soyabean Oil 860 g,Sunny,essentials,oil,860.0,g,130.0,jiomart,,0.4,0.1,3.5,13.2,7.8,0.6,,0.1,"Soyabean, Mustard oil, Sunflower oil",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_sunny_sunny_soya_fit_refined_soyabean_oil_860_g
22,jiomart_tummyfriendly_foods_tummyfriendly_foods_100_organic_oats_beetroot_porridge_mix_organic_baby_food_for,"TummyFriendly Foods 100% Organic Oats, Beetroot Porridge Mix, Organic Baby Food for 6 Months Old, Rich in Beta-Glucan, Protein & Fibre, 200g/cereals|Cereals",Tummyfriendly Foods,baby,baby,6.0,Months,269.0,jiomart,,64.2,12.1,8.5,3.9,0.6,4.2,,0.1,"Oats, Beetroot Powder, Organic Jaggery Syrup",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_tummyfriendly_foods_tummyfriendly_foods_100_organic_oats_beetroot_porridge_mix_organic_baby_food_for
23,jiomart_britannia_britannia_milk_bikis_biscuits_1705_g,Britannia Milk Bikis Biscuits 170.5 g,Britannia,snacks,biscuit,170.5,g,29.0,jiomart,550.0,71.0,18.0,7.0,24.0,12.0,1.0,250.0,2.5,"Mustard Oil, Sugar, Wheat Flour, Vegetable Fat (Palm Kernel and Sunflower), Baking Soda, Salt, Flavour Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotide), Milk Powder",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_britannia_britannia_milk_bikis_biscuits_1705_g
24,jiomart_apka_kisan_apka_kisan_multi_grain_chakki_fresh_atta_5_kg_wheat_maize_jwar_bajra_stone_grinded_no_pre,"APKA KISAN | MULTI GRAIN CHAKKI FRESH ATTA | 5 KG | WHEAT, MAIZE, JWAR & BAJRA | STONE GRINDED | NO PRESERVATIVES | FARMERS OF SEHORE, MADHYA PRADESH ",|Apka Kisan,essentials,flour,5.0,kg,499.0,jiomart,369.0,74.2,4.5,12.1,3.9,0.8,6.2,2.5,0.4,"Wheat, Maize, Jwar & Bajra",30g,7.0,0.85,Verified from Indian nutrition label,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_apka_kisan_apka_kisan_multi_grain_chakki_fresh_atta_5_kg_wheat_maize_jwar_bajra_stone_grinded_no_pre
25,jiomart_8_am_8am_museli_breakfast_cereals_chocolate_cranberry_pack_of_2_425_g,8AM Museli Breakfast Cereals (Chocolate & Cranberry) Pack of 2 425 g,8 Am,snacks,breakfast,8.0,,520.0,jiomart,370.0,61.5,21.8,6.2,10.3,4.1,0.5,150.0,0.7,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_8_am_8am_museli_breakfast_cereals_chocolate_cranberry_pack_of_2_425_g
26,jiomart_luvit_luvit_cocoa_crush_dark_milk_compound_bars_frosting_perfect_for_baking_pack_of_2_500g_each,"LuvIt Cocoa Crush - Dark & Milk Compound Bars| Frosting, Perfect for Baking| Pack of 2 - 500g Each",Luvit,chocolate,chocolate,500.0,g,378.0,jiomart,550.0,65.0,58.0,13.0,38.0,24.0,2.0,150.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_luvit_luvit_cocoa_crush_dark_milk_compound_bars_frosting_perfect_for_baking_pack_of_2_500g_each
27,jiomart_piyor_piyor_natural_premium_dry_fruits_jumbo_roasted_salted_pistachios_nuts_inshell_pista_pistachios,PIYOR Natural Premium Dry fruits Jumbo Roasted & Salted Pistachios Nuts Inshell Pista Pistachios (3 x 150 g),Piyor,essentials,dry-fruits-nuts,,g,499.0,jiomart,575.0,21.4,1.8,21.3,53.5,12.2,7.4,0.1,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_piyor_piyor_natural_premium_dry_fruits_jumbo_roasted_salted_pistachios_nuts_inshell_pista_pistachios
28,jiomart_radha_damodar_radha_damodar_unpolished_arhar_dal_400_gram_organic_toor_dal_small_size_tuvar_dal_arha,"Radha Damodar Unpolished Arhar Dal - 400 gram Organic Toor Dal Small Size Tuvar Dal, Arhar Dal, Tur Dal",Radha Damodar,essentials,pulses,400.0,g,195.0,jiomart,347.0,74.8,1.5,15.4,0.9,0.3,2.6,1.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_radha_damodar_radha_damodar_unpolished_arhar_dal_400_gram_organic_toor_dal_small_size_tuvar_dal_arha
29,jiomart_savour_savour_poha_500g_pack_of_6,Savour Poha 500g Pack of 6,Savour,snacks,breakfast,500.0,g,448.0,jiomart,370.0,74.0,4.0,5.0,16.0,2.5,1.0,350.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_savour_savour_poha_500g_pack_of_6
30,jiomart_tarvik_tarvik_slice_churan_aam_papad_khatta_slice_masala_mango_chips_mukhwas_chatpata_aam_papad_dige,Tarvik Slice Churan | Aam papad khatta slice | Masala Mango Chips| Mukhwas Chatpata Aam Papad Digestive Mouth freshener (165 gm,Tarvik,chocolate,chocolate,165.0,g,199.0,jiomart,,34.2,19.5,3.4,12.1,7.8,0.6,230.0,2.5,"Mustard oil, Sugar, Cocoa powder, Ghee, Salt, Aam (Mango), Spices",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_tarvik_tarvik_slice_churan_aam_papad_khatta_slice_masala_mango_chips_mukhwas_chatpata_aam_papad_dige
31,jiomart_pothigai_natural_pothigai_natural_mint_leaves_thokkupickle_500g_home_made_pickle_no_chemical_added_1,Pothigai Natural Mint Leaves Thokku/pickle 500g Home Made Pickle /No chemical added 100% Natural,Pothigai Natural,flavourings,pickles-chutney,500.0,g,239.0,jiomart,15.0,3.5,1.2,0.2,0.8,0.4,0.5,50.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_pothigai_natural_pothigai_natural_mint_leaves_thokkupickle_500g_home_made_pickle_no_chemical_added_1
32,jiomart_nourish_you_nourish_you_organic_quinoa_flour_750g_pack_usda_certified_gluten_free_atta_enriched_with,"NOURISH YOU Organic Quinoa Flour 750G Pack | USDA Certified Gluten Free Atta | Enriched with Dietary Fibre, Protein & Vitamins | Improves Gut Health | Superfood | Micro-nutrients | No Preservatives",Nourish You,essentials,flour,750.0,g,189.0,jiomart,347.0,69.2,1.4,9.3,6.5,0.8,7.2,1.0,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_nourish_you_nourish_you_organic_quinoa_flour_750g_pack_usda_certified_gluten_free_atta_enriched_with
33,jiomart_cook_garden_cookgarden_instant_oats_500_gm_and_buckeheat_pasta_300_gm_pack_of_2,CookGarden Instant Oats 500 gm and Buckeheat Pasta 300 gm - Pack Of 2,Cook Garden,snacks,breakfast,500.0,g,349.0,jiomart,,65.0,4.5,6.0,2.5,1.0,2.0,,0.8,"Instant Oats, Buckwheat Flour, Sugar, Salt, Spices (Mustard Oil)",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_cook_garden_cookgarden_instant_oats_500_gm_and_buckeheat_pasta_300_gm_pack_of_2
34,jiomart_balaji_wafers_balaji_wafers_mung_dal_250_g,Balaji Wafers Mung Dal 250 g,Balaji Wafers,snacks,chips-namkeen,250.0,g,44.0,jiomart,370.0,65.5,3.2,4.8,19.1,9.2,0.6,230.0,3.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_balaji_wafers_balaji_wafers_mung_dal_250_g
35,jiomart_goshudh_goshudh_rajgira_atta_2_kg_pack,Goshudh Rajgira Atta 2 kg Pack,Goshudh,essentials,flour,2.0,kg,510.0,jiomart,,,2.5,9.0,3.5,1.8,4.2,,0.6,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_goshudh_goshudh_rajgira_atta_2_kg_pack
36,jiomart_food_essential_food_essential_tender_coconut_water_powder_raw_vegan_refreshing_rehydrating_500_gm,"Food Essential Tender Coconut Water Powder [Raw, Vegan, Refreshing & Re-Hydrating] 500 gm.",Food Essential,ready_to_eat,ready-to-eat,500.0,g,449.0,jiomart,,9.4,8.5,0.3,0.2,0.1,0.4,10.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_food_essential_food_essential_tender_coconut_water_powder_raw_vegan_refreshing_rehydrating_500_gm
37,jiomart_tinkus_tinkus_lasoda_ka_achaar_handmade_indian_glue_berry_pickle_with_traditional_masala_mustard_oil,TINKUS Lasoda Ka Achaar | Handmade Indian Glue Berry Pickle with Traditional Masala & Mustard Oil | Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,220.0,jiomart,50.0,10.0,8.0,1.0,3.0,0.5,0.5,200.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_tinkus_tinkus_lasoda_ka_achaar_handmade_indian_glue_berry_pickle_with_traditional_masala_mustard_oil
